,listingId,priceAmt,priceAvgNightly,priceFees,priceRent,lat,lng,city,state,country,reviewCount,reviewAverage,bathrooms,bedrooms,listingUrl,bookWithConfidence
0,v1170053,669.6,83.7,,669.6,33.78331769,-84.34642526,Atlanta,GA,US,3,5.0,1.0,1,https://www.vrbo.com/1170053?unitId=1720782,True
0,4463420,1160.0,145.0,,1160.0,33.7619081,-84.358615,Atlanta,GA,US,3,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p4463420?uni_id=5050886,True
0,4663284,1165.0,145.63,,1165.0,33.837025,-84.3747979,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p4663284?uni_id=5474827,True
0,4538918,2240.0,280.0,,2240.0,33.74261,-84.38767,Atlanta,GA,US,0,0.0,1.0,0,https://www.homeaway.com/vacation-rental/p4538918?uni_id=5480564,True
0,v1328962,1192.0,149.0,,1192.0,33.78578275,-84.38464636,Atlanta,GA,US,0,0.0,2.0,1,https://www.vrbo.com/1328962?unitId=1887260,True
0,4538512,964.4,120.55,,964.4,33.76161,-84.38731,Atlanta,GA,US,0,0.0,1.0,0,https://www.homeaway.com/vacation-rental/p4538512?uni_id=5931158,True
0,4625906,800.0,100.0,,800.0,33.837025,-84.3747979,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p4625906?uni_id=5376864,True
0,v1179406,672.0,84.0,,672.0,33.73999067,-84.39691074,Atlanta,GA,US,3,3.6666667,1.0,1,https://www.vrbo.com/1179406?unitId=1730143,True
0,v859837,3960.0,495.0,,3960.0,33.8313073,-84.3744433,Atlanta,GA,US,34,4.9411764,3.0,4,https://www.vrbo.com/859837?unitId=1407776,True
0,4711066,1200.0,150.0,,1200.0,33.79373794,-84.40102687,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p4711066?uni_id=5680866,True
0,v1103643,5550.0,693.75,,5550.0,33.846519,-84.353069,Atlanta,GA,US,19,5.0,4.0,5,https://www.vrbo.com/1103643?unitId=1651804,True
