,listingId,priceAmt,priceAvgNightly,priceFees,priceRent,lat,lng,city,state,country,reviewCount,reviewAverage,bathrooms,bedrooms,listingUrl,bookWithConfidence,CrimeScore
0,4538808,903.79,112.97,,903.79,33.75847,-84.3842,Atlanta,GA,US,0,0,1,0,https://www.homeaway.com/vacation-rental/p4538808?uni_id=6783377,TRUE,64.68095451
0,4137197,514.29,64.29,,514.29,33.762993,-84.474056,Atlanta,GA,US,4,5,1,1,https://www.homeaway.com/vacation-rental/p4137197?uni_id=4537477,TRUE,4.441077918
0,4893857,1155,144.38,,1155,33.75991,-84.39067,Atlanta,GA,US,0,0,1,0,https://www.homeaway.com/vacation-rental/p4893857?uni_id=5963369,TRUE,25.51287372
0,v1461204,1383,172.88,,1383,33.818559,-84.366248,Atlanta,GA,US,1,5,1,1,https://www.vrbo.com/1461204?unitId=2019790,TRUE,47.62792012
0,v1461217,1445,180.63,,1445,33.765381,-84.36555,Atlanta,GA,US,1,5,1,1,https://www.vrbo.com/1461217?unitId=2019803,TRUE,9.26814065
0,7436068,1080,135,,1080,33.7703616,-84.3624858,Atlanta,GA,US,0,0,1,1,https://www.homeaway.com/vacation-rental/p7436068?uni_id=6822718,TRUE,8.44078913
0,7460611,1945.6,243.2,,1945.6,33.8320631,-84.3673689,Atlanta,GA,US,0,0,1,2,https://www.homeaway.com/vacation-rental/p7460611?uni_id=6857228,TRUE,6.878927128
0,7631428,3478,434.75,,3478,33.859955,-84.363625,Atlanta,GA,US,0,0,5,5,https://www.homeaway.com/vacation-rental/p7631428?uni_id=7079592,TRUE,3.297299439
0,4750224,2044.4,255.55,,2044.4,33.7902255,-84.3934477,Atlanta,GA,US,6,4.5,3,2,https://www.homeaway.com/vacation-rental/p4750224?uni_id=5730110,TRUE,13.93346216
0,7482955,1930.72,241.34,,1930.72,33.76791497,-84.38015072,Atlanta,GA,US,0,0,2,2,https://www.homeaway.com/vacation-rental/p7482955?uni_id=6887519,TRUE,28.78360129
0,v1539217,2408.4,301.05,,2408.4,33.770962,-84.367996,Atlanta,GA,US,0,0,2,3,https://www.vrbo.com/1539217?unitId=2098926,TRUE,10.05240137
0,7482960,1983.52,247.94,,1983.52,33.81681263,-84.38217134,Atlanta,GA,US,1,5,2,4,https://www.homeaway.com/vacation-rental/p7482960?uni_id=6887524,TRUE,4.157299481
0,7482953,999.68,124.96,,999.68,33.78237994,-84.38154797,Atlanta,GA,US,0,0,1,1,https://www.homeaway.com/vacation-rental/p7482953?uni_id=6887517,TRUE,52.38737151
