,listing_id,price_amt,price_avg_nightly,price_fees,price_rent,latitude,longitude,city,state,country,review_count,review_average,bathrooms,bedrooms,listing_url,book_with_confidence,crime_score
239,v1551634,7600.0,950.0,,7600.0,33.75022122,-84.41383251,Atlanta,GA,US,0,0.0,1.0,2,https://www.vrbo.com/1551634?unitId=2111395,True,21
240,v1553109,16800.0,2100.0,,16800.0,33.75746333,-84.40864258,Atlanta,GA,US,0,0.0,3.0,3,https://www.vrbo.com/1553109?unitId=2112871,True,136
241,7690311,1912.0,239.0,,1912.0,33.76967829,-84.38310757,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7690311?uni_id=7154373,True,512
242,7499136,6400.0,800.0,,6400.0,33.865140999999994,-84.377992,Atlanta,GA,US,0,0.0,2.0,3,https://www.homeaway.com/vacation-rental/p7499136?uni_id=6906998,True,102
243,v1326262,2142.0,267.75,,2142.0,33.79625861,-84.40712751,Atlanta,GA,US,0,0.0,4.0,2,https://www.vrbo.com/1326262?unitId=1884553,True,59
244,7518421,68000.0,8500.0,,68000.0,33.74039631,-84.35185387,Atlanta,GA,US,0,0.0,3.0,3,https://www.homeaway.com/vacation-rental/p7518421?uni_id=6931037,True,18
245,v1527463,12000.0,1500.0,,12000.0,33.76577188,-84.41841242,Atlanta,GA,US,0,0.0,2.0,3,https://www.vrbo.com/1527463?unitId=2086262,True,36
246,7665413,1680.0,210.0,,1680.0,33.79118357,-84.39797948,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7665413?uni_id=7126703,True,62
247,4648196,985.68,123.21,,985.68,33.6950751,-84.5051565,Atlanta,GA,US,0,0.0,1.0,3,https://www.homeaway.com/vacation-rental/p4648196?uni_id=5406671,True,7
248,7518659,1140.0,142.5,,1140.0,33.74664751,-84.40313581,Atlanta,GA,US,0,0.0,1.0,2,https://www.homeaway.com/vacation-rental/p7518659?uni_id=6931275,True,72
249,7564938,10360.0,1295.0,,10360.0,33.74938108,-84.36854376,Atlanta,GA,US,1,5.0,3.0,3,https://www.homeaway.com/vacation-rental/p7564938?uni_id=6990205,True,8
250,10185803,4218.41,527.3,,4218.41,33.7683603,-84.35135,Atlanta,GA,US,0,0.0,3.0,5,https://www.homeaway.co.uk/p10185803?uni_id=5210299,False,74
251,v1550653,16800.0,2100.0,,16800.0,33.7570327,-84.4064942,Atlanta,GA,US,0,0.0,2.0,3,https://www.vrbo.com/1550653?unitId=2110411,True,136
252,7472068,16000.0,2000.0,,16000.0,33.6995122,-84.51223537,Atlanta,GA,US,0,0.0,2.0,3,https://www.homeaway.com/vacation-rental/p7472068?uni_id=6870685,True,26
253,7584603,2240.0,280.0,,2240.0,33.7378788,-84.38638177,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p7584603?uni_id=7023999,True,43
254,v1551373,1014.0,126.75,,1014.0,33.71392814,-84.42283442,Atlanta,GA,US,0,0.0,1.0,2,https://www.vrbo.com/1551373?unitId=2111131,True,105
255,v1543842,79984.0,9998.0,,79984.0,33.80900238,-84.39872968,Atlanta,GA,US,0,0.0,4.0,5,https://www.vrbo.com/1543842?unitId=2103576,True,4
256,7613990,1450.0,181.25,,1450.0,33.72703996,-84.41058795,Atlanta,GA,US,0,0.0,2.0,3,https://www.homeaway.com/vacation-rental/p7613990?uni_id=7060122,True,61
257,7606972,1341.4,167.68,,1341.4,33.73309367,-84.38443977,Atlanta,GA,US,2,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p7606972?uni_id=7051828,True,43
258,7596158,673.2,84.15,,673.2,33.71861707,-84.41314989,Atlanta,GA,US,0,0.0,1.0,2,https://www.homeaway.com/vacation-rental/p7596158?uni_id=7039584,True,59
259,7578061,4552.0,569.0,,4552.0,33.6617472,-84.34886892,Atlanta,GA,US,0,0.0,2.0,4,https://www.homeaway.com/vacation-rental/p7578061?uni_id=7010763,True,513
260,4547214,1512.0,189.0,,1512.0,33.75815368,-84.38549405,Atlanta,GA,US,5,2.6,2.0,2,https://www.homeaway.com/vacation-rental/p4547214?uni_id=5155866,True,512
261,7555164,4000.0,500.0,,4000.0,33.76612331,-84.38754676,Atlanta,GA,US,1,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p7555164?uni_id=6979659,True,512
262,v1537249,2600.0,325.0,,2600.0,33.870838299999996,-84.3772348,Atlanta,GA,US,1,5.0,2.0,3,https://www.vrbo.com/1537249?unitId=2096940,True,102
263,v1573931,3900.0,487.5,,3900.0,33.77950785,-84.37200823,Atlanta,GA,US,1,5.0,2.0,2,https://www.vrbo.com/1573931?unitId=2135128,True,373
264,7748200,920.0,115.0,,920.0,33.82278642,-84.36521978,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7748200?uni_id=7330361,True,162
265,v1626605,1090.0,136.25,,1090.0,33.76594424,-84.39240555,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1626605?unitId=2187928,True,512
266,7721063,1200.0,150.0,,1200.0,33.76891019,-84.40696344,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p7721063?uni_id=7211868,True,89
267,7748238,852.0,106.5,,852.0,33.72470721,-84.44487915,Atlanta,GA,US,0,0.0,2.0,3,https://www.homeaway.com/vacation-rental/p7748238?uni_id=7330492,True,36
268,v1622980,960.0,120.0,,960.0,33.73729001,-84.43925579,Atlanta,GA,US,0,0.0,2.0,2,https://www.vrbo.com/1622980?unitId=2184303,True,59
269,7772200,7200.0,900.0,,7200.0,33.74262936,-84.38634783,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p7772200?uni_id=7427746,True,43
270,7773676,7200.0,900.0,,7200.0,33.75726186,-84.42174250000001,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p7773676?uni_id=7432809,True,21
271,v1625420,2366.0,295.75,,2366.0,33.75521456,-84.42422712,Atlanta,GA,US,0,0.0,2.0,4,https://www.vrbo.com/1625420?unitId=2186743,True,21
272,7757221,1192.0,149.0,,1192.0,33.76300402,-84.40498199,Atlanta,GA,US,0,0.0,1.0,3,https://www.homeaway.com/vacation-rental/p7757221?uni_id=7368217,True,136
273,v1544524,1275.0,159.38,,1275.0,33.77781558,-84.37793542,Atlanta,GA,US,1,5.0,2.0,2,https://www.vrbo.com/1544524?unitId=2104258,True,373
274,7714920,1040.0,130.0,,1040.0,33.82730336,-84.36583137,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7714920?uni_id=7188554,True,162
275,7558881,9600.0,1200.0,,9600.0,33.74214397,-84.39282006,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p7558881?uni_id=6984085,True,128
276,v1293002,1872.0,234.0,,1872.0,33.76999679,-84.34153663,Atlanta,GA,US,1,5.0,2.0,3,https://www.vrbo.com/1293002?unitId=1844150,True,38
277,v1462580,4800.0,600.0,,4800.0,33.762525200000006,-84.3880022,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1462580?unitId=2021169,True,512
278,v1506080,2443.75,305.47,,2443.75,33.76007389,-84.36201051,Atlanta,GA,US,0,0.0,2.0,3,https://www.vrbo.com/1506080?unitId=2064869,True,74
279,v1532007,1555.2,194.4,,1555.2,33.720885700000004,-84.3532396,Atlanta,GA,US,1,5.0,1.0,2,https://www.vrbo.com/1532007?unitId=2090809,True,24
280,7576255,1800.0,225.0,,1800.0,33.71137482,-84.36296587,Atlanta,GA,US,1,4.0,2.0,3,https://www.homeaway.com/vacation-rental/p7576255?uni_id=7007756,True,13
281,7685671,1572.5,196.56,,1572.5,33.72169563,-84.37836686,Atlanta,GA,US,0,0.0,2.0,3,https://www.homeaway.com/vacation-rental/p7685671?uni_id=7149469,True,9
282,7582746,1200.0,150.0,,1200.0,33.75362824,-84.42023929,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p7582746?uni_id=7020087,True,26
283,v1536407,6600.0,825.0,,6600.0,33.8034516,-84.3902807,Atlanta,GA,US,0,0.0,3.0,5,https://www.vrbo.com/1536407?unitId=2096089,True,11
284,v1324336,1000.0,125.0,,1000.0,33.76230027,-84.38692207,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1324336?unitId=1882623,True,512
285,7480989,1500.0,187.5,,1500.0,33.71188066,-84.37947727,Atlanta,GA,US,0,0.0,2.0,3,https://www.homeaway.com/vacation-rental/p7480989?uni_id=6884645,True,75
286,7593768,13600.0,1700.0,,13600.0,33.85082909,-84.36637155,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7593768?uni_id=7036624,True,102
287,7579317,14400.0,1800.0,,14400.0,33.74844544,-84.39979711,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p7579317?uni_id=7012548,True,72
288,7557273,48000.0,6000.0,,48000.0,33.74566769,-84.40754040000002,Atlanta,GA,US,0,0.0,3.0,3,https://www.homeaway.com/vacation-rental/p7557273?uni_id=6982400,True,5
289,v1552350,1889.68,236.21,,1889.68,33.71294833,-84.41680395,Atlanta,GA,US,0,0.0,1.0,3,https://www.vrbo.com/1552350?unitId=2112111,True,105
290,v1548878,10400.0,1300.0,,10400.0,33.71708231,-84.45502905,Atlanta,GA,US,0,0.0,2.0,3,https://www.vrbo.com/1548878?unitId=2108626,True,30
291,v1486553,10800.0,1350.0,,10800.0,33.75753524,-84.5241355,Atlanta,GA,US,0,0.0,2.0,3,https://www.vrbo.com/1486553?unitId=2045184,True,12
292,7561988,52000.0,6500.0,,52000.0,33.78865957,-84.39677656,Atlanta,GA,US,0,0.0,1.0,4,https://www.homeaway.com/vacation-rental/p7561988?uni_id=6987224,True,96
293,v1529799,1000.0,125.0,,1000.0,33.7519556,-84.41835390000001,Atlanta,GA,US,0,0.0,1.0,2,https://www.vrbo.com/1529799?unitId=2088598,True,26
